id,structure__id,structure__formula_reduced,structure__e_above_hull,empiricalmeasures__dimensionality,empcorbarrier__barrier,vaspcalcb__energy_barrier
3178,mp-22398,FeF3,0.006918412500000137,3,0.20548579816998813,0.3472394799999847
151,mp-973778,Hg3F,0.16233254124999985,3,0.2250304616899995,-0.38325660999998945
389,mp-558852,FeF3,0.011088768750000533,3,0.2378824693399918,0.13930178999999043
633,mp-998358,MgAgF3,0.0331789360000041,3,0.30063103373000627,-0.17801071999997475
15221,mp-556497,RbNi2F6,0.04247196277777743,3,0.30490510852999886,0.35651894000000084
657,mp-554973,TlCuF3,0.00018397699999894712,3,0.3479264833699961,0.5180109000000357
923,mp-974603,HgF2,0.008098649999987995,3,0.32813750387000384,0.19981047999999646
3489,mp-541384,MnF3,0.025636676249994217,3,0.34423034636000144,0.4098920800000201
4666,mp-998418,MgAgF3,0.018142888000004298,3,0.37102490623999856,0.36693460999998706
4649,mp-1078631,SrBiS2F,0.008654981083333624,2,0.12417483556999556,0.3129681599999685
485,mp-5566,KCuF3,0.0,3,0.38865795724999186,0.3837743000000273
534,mp-560976,KNiF3,0.0,3,0.39268635455000395,0.8197343199999523
9409,mp-759601,MnOF,0.028998964583336395,3,0.42305625497000676,0.5305152200000975
20334,mp-17745,Mn2Hg2SF6,0.4646015742297971,3,0.4216604499200029,0.28801224999995156
5486,mp-4360,NaCdF3,0.0,1,0.5012656201099953,0.23877932999999985
754,mp-13819,KAgF3,0.0,3,0.4197495840499881,0.16095680000000812
659,mp-7482,RbHgF3,0.0,3,0.26526531565999656,0.11681701000003386
594,mp-10175,KCdF3,0.02556854900000083,3,0.4152549924199865,-1.0899949399999969
2091,mp-1080650,BaCuSF,0.003940355312501254,2,0.668374417999991,0.5337799899999709
3504,mp-9195,BaCuSeF,0.0,2,0.6860687813300017,0.663393860000042
2585,mp-1091416,SrCuTeF,0.01813320437500021,2,0.8708741714900131,1.2391509500000666
2649,mp-1080438,SrAgTeF,0.0,2,0.7305090082399983,0.7413902099999632
1948,mp-1078949,BaMnSbF,0.00858712901287273,2,0.30896668738998684,0.47857034000003296
2719,mp-1080135,SrZnAsF,0.0,2,0.5692995118099959,0.19826339999997344
1980,mp-37473,TiOF2,0.07877570031249803,3,0.416204702030006,0.6012338999998974
3398,mp-13339,EuCuTeF,0.009489438749999302,2,0.7945186475900139,1.1577498099999275
9196,mp-765559,LiAgF4,0.0,1,0.473329881379974,0.2846962700000404
1063,mp-759883,BiOF,0.009391136666666355,2,0.4931740134200046,0.4237921200000301
1540,mp-8111,LaOF,0.005200221666667559,2,0.6075219074599985,0.8654802900000504
674,mp-9006,Ho2CF2,0.0,2,0.2575964554399971,0.13271084999996674
971,mp-1072114,HoOF,0.0,2,0.6657383835199905,0.832169629999953
1456,mp-8226,ThNF,0.0,2,0.6337305416000037,0.7831991299999572
1286,mp-3637,YOF,0.0,2,0.6522389237000102,0.8008150699999987
1096,mp-1072193,ErOF,0.0,2,0.6396270761000021,0.810008190000076
1173,mp-1072208,DyOF,0.0,2,0.673674540859996,0.8470663499999773
1008,mp-14093,TbOF,0.0,2,0.6837874667300162,0.8652014699999881
122,mp-246,TiF3,0.0,3,0.4791732452300006,0.5098396299999877
786,mp-5878,KZnF3,0.0,3,0.5265942676400079,0.39662780000003295
11844,mp-7580,Hg3(SF)2,0.0,3,0.5159843705000009,0.20753829000000223
20281,mp-17972,Zn2Hg2OF6,0.0,3,0.464281482980002,0.28369128999997884
3998,mp-551403,Ba2Fe2S2OF2,0.005429343888891935,2,0.20364569840000843,0.36765232999999853
3068,mp-1080029,Ba2Mn2Se2OF2,0.0,2,0.2833419476900002,0.418245450000029
3933,mp-1079717,Sr2Ti2Sb2OF2,0.0,2,0.3853623322099977,0.42258101999999553
3437,mp-1080128,SrMnSbF,0.04352482037152949,2,0.3281381407100019,0.4905971700000009
2941,mp-549058,Ba2Fe2Se2OF2,0.0,2,0.22922693534,0.37949334000001045
2329,mp-1078562,SrAgSF,0.005348207499999091,2,0.42041848565000317,0.4155822299999272
9504,mp-27175,InOF,0.0,1,0.15626644939998174,0.31287788999998156
14151,mp-1209528,PdPb2F6,0.0,1,0.15746693671999412,0.16530226999998376
2001,mp-752467,NbO2F,0.0,1,0.16844729356995514,0.3332307599999922
2904,mp-559931,VF3,0.0,2,0.3214465444099886,0.5412564100000168
27922,mp-18832,K2VO2F3,0.0,1,0.1523541546199954,0.20046387999991566
1097,mp-22964,PbClF,0.0,2,0.5331159319700003,0.7476743000000283
30390,mp-555048,NaAlCdF6,0.0,1,0.3069445282399774,0.10226705999991736
14150,mp-1209528,PdPb2F6,0.0,1,0.16030652393000433,0.1411383699999078
3232,mp-1078216,Sr2Ti2Bi2OF2,0.0,2,0.4917660315499918,0.4767238700000007
3599,mp-1079747,Sr2Ti2As2OF2,0.0,2,0.32694368690000114,0.4237813099999812
1198,mp-753594,BiOF,0.0,2,0.3495895416200102,0.0329304699999966
9862,mp-776264,LiFeF4,0.0,1,0.20470557035000697,0.3096374699999842
22193,mp-867665,LiV3(OF3)2,0.0,1,0.1882099430299768,0.26680200999999215
